GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,387374,2552856,google.com,com,1,1,387559,2550473
2,2,facebook.com,com,378257,2694173,facebook.com,com,2,2,378608,2692361
3,3,youtube.com,com,345964,2189788,youtube.com,com,3,3,346351,2188508
4,4,twitter.com,com,339148,2282959,twitter.com,com,4,4,339544,2281323
5,5,adobe.com,com,256145,1003710,adobe.com,com,5,5,256399,1003540
6,6,microsoft.com,com,254934,831855,microsoft.com,com,6,6,254908,831045
7,1,wikipedia.org,org,250242,1183422,wikipedia.org,org,7,1,250411,1182329
8,7,plus.google.com,com,223869,1177330,plus.google.com,com,8,7,223915,1175999
9,8,linkedin.com,com,222875,1023608,linkedin.com,com,9,8,222977,1022770
10,9,apple.com,com,220604,872967,apple.com,com,10,9,220946,872753
11,10,maps.google.com,com,214953,892550,maps.google.com,com,11,10,215186,892125
12,11,blogspot.com,com,210012,921351,blogspot.com,com,12,11,210248,921209
13,2,en.wikipedia.org,org,207412,858399,en.wikipedia.org,org,13,2,207525,857683
14,3,wordpress.org,org,206332,1069183,wordpress.org,org,14,3,206087,1066611
15,12,yahoo.com,com,201994,750266,yahoo.com,com,15,12,202305,749881
16,13,wordpress.com,com,196044,841280,wordpress.com,com,16,13,196196,840955
17,14,godaddy.com,com,188551,784374,godaddy.com,com,17,14,188630,785748
18,15,vimeo.com,com,184638,821492,vimeo.com,com,18,15,184776,820651
19,16,itunes.apple.com,com,177670,617753,itunes.apple.com,com,19,16,177910,617740
20,17,verizon.com,com,176234,595709,verizon.com,com,22,18,171464,569991
22,18,pinterest.com,com,172031,799352,pinterest.com,com,21,17,172187,798451
23,19,amazon.com,com,164010,621088,amazon.com,com,23,19,164192,620613
24,20,flickr.com,com,161955,602812,flickr.com,com,24,20,162168,603038
25,4,w3.org,org,159274,481182,w3.org,org,25,4,159209,480695
26,21,tumblr.com,com,158116,622080,tumblr.com,com,26,21,158289,621587
27,22,instagram.com,com,155559,632262,instagram.com,com,27,22,155683,631415
29,1,bit.ly,ly,153647,526936,bit.ly,ly,29,1,153766,526885
30,1,sourceforge.net,net,146904,419838,sourceforge.net,net,30,1,146888,419415
31,23,docs.google.com,com,142643,452055,docs.google.com,com,31,23,142592,451567
32,24,virginmedia.com,com,131612,406977,virginmedia.com,com,32,24,131494,405905
34,25,nytimes.com,com,126599,382638,nytimes.com,com,34,25,126827,382992
35,1,bbc.co.uk,uk,126118,387552,bbc.co.uk,uk,35,1,126360,387415
36,6,mozilla.org,org,119783,332970,mozilla.org,org,36,6,119901,332706
38,27,cnn.com,com,118227,327863,cnn.com,com,38,27,118449,328139
39,28,msn.com,com,117651,315176,msn.com,com,39,28,117899,315436
40,29,weebly.com,com,116619,344679,weebly.com,com,40,29,116591,344671
41,30,myspace.com,com,115935,373336,myspace.com,com,41,30,115969,373612
42,7,apache.org,org,115456,267995,apache.org,org,42,7,115379,267537
43,31,tinyurl.com,com,112982,322015,tinyurl.com,com,43,31,113089,322069
47,34,reddit.com,com,109022,354489,reddit.com,com,47,34,109078,354314
48,35,github.com,com,108337,311617,github.com,com,48,35,108320,311099
49,2,php.net,net,107716,271554,php.net,net,49,2,107587,270495
50,36,ebay.com,com,105724,310533,ebay.com,com,50,36,105814,310629
51,1,nih.gov,gov,105413,262360,nih.gov,gov,51,1,105421,262254
52,37,soundcloud.com,com,103983,342345,soundcloud.com,com,52,37,103976,341993
55,39,imdb.com,com,102450,288043,imdb.com,com,55,39,102585,288254
61,44,dropbox.com,com,99344,266900,dropbox.com,com,61,44,99469,266805
63,3,slideshare.net,net,98609,252943,slideshare.net,net,63,3,98508,252817
64,46,live.com,com,97677,238273,live.com,com,64,46,97611,238223
65,47,forbes.com,com,97236,252642,forbes.com,com,65,47,97336,252906
66,8,gnu.org,org,97113,236145,gnu.org,org,66,8,96993,235568
67,9,creativecommons.org,org,96654,255489,creativecommons.org,org,67,9,96765,255398
68,48,about.com,com,96285,248793,about.com,com,68,48,96479,248932
71,51,paypal.com,com,95478,279888,paypal.com,com,71,51,95509,279584
75,11,archive.org,org,92231,231923,archive.org,org,75,11,92364,232090
76,54,huffingtonpost.com,com,92019,254998,huffingtonpost.com,com,76,54,92190,255070
77,55,webs.com,com,91566,237044,webs.com,com,77,55,91684,237195
78,56,bing.com,com,90840,227024,bing.com,com,78,56,90910,226893
82,1,mit.edu,edu,89171,196433,mit.edu,edu,82,1,89222,196439
83,58,ibm.com,com,88887,174840,ibm.com,com,83,58,88854,174765
84,59,washingtonpost.com,com,88695,221371,washingtonpost.com,com,84,59,88836,221511
85,60,aol.com,com,88566,205084,aol.com,com,85,60,88655,205009
88,2,stanford.edu,edu,87907,187375,stanford.edu,edu,88,2,87886,187210
89,62,amazonaws.com,com,87744,215623,amazonaws.com,com,89,62,87784,215598
91,64,geocities.com,com,87094,200788,geocities.com,com,91,64,87213,200965
92,65,blogger.com,com,86472,230406,blogger.com,com,92,65,86626,230525
93,66,cnet.com,com,86123,197328,cnet.com,com,94,67,86177,197167
94,67,dailymotion.com,com,86068,260030,dailymotion.com,com,93,66,86215,259993
95,68,mysql.com,com,85875,185753,mysql.com,com,95,68,85717,185307
96,3,harvard.edu,edu,85599,189123,harvard.edu,edu,96,3,85672,189359
97,69,hp.com,com,85217,168776,hp.com,com,97,69,85269,168857
98,2,telegraph.co.uk,uk,84866,221682,telegraph.co.uk,uk,98,2,84986,221886
99,70,statcounter.com,com,84509,228769,statcounter.com,com,99,70,84486,228612
100,3,guardian.co.uk,uk,83580,209441,guardian.co.uk,uk,100,3,83704,209566
101,2,nasa.gov,gov,83527,180499,nasa.gov,gov,103,2,83565,180578
104,73,usatoday.com,com,83422,201629,usatoday.com,com,102,72,83617,201973
105,4,dailymail.co.uk,uk,83281,219863,dailymail.co.uk,uk,105,4,83422,220133
107,75,photobucket.com,com,82853,219858,photobucket.com,com,107,75,83006,219929
108,76,opera.com,com,82500,195600,opera.com,com,108,76,82577,195456
111,78,imgur.com,com,80879,220962,imgur.com,com,111,78,80879,220601
115,79,bloomberg.com,com,79438,180825,bloomberg.com,com,115,79,79517,180990
116,80,time.com,com,79356,186079,time.com,com,116,80,79514,186498
117,81,ted.com,com,79158,191943,ted.com,com,117,81,79219,191939
120,84,wired.com,com,77069,181576,wired.com,com,120,84,77170,181784
122,85,surveymonkey.com,com,76688,163623,surveymonkey.com,com,122,85,76823,163803
123,86,theguardian.com,com,76648,190784,theguardian.com,com,123,86,76760,190796
125,5,google.co.uk,uk,75469,216510,google.co.uk,uk,125,5,75466,216458
127,88,deviantart.com,com,74536,193520,deviantart.com,com,127,88,74672,193632
129,90,engadget.com,com,73189,181204,engadget.com,com,129,90,73228,181376
140,96,answers.com,com,70275,173953,answers.com,com,140,96,70442,174223
141,6,amazon.co.uk,uk,70233,181689,amazon.co.uk,uk,141,6,70298,181834
142,97,oracle.com,com,69841,122834,oracle.com,com,142,97,69837,122619
143,98,blog.com,com,69704,171541,blog.com,com,143,98,69701,171335
145,99,nationalgeographic.com,com,69118,146128,nationalgeographic.com,com,144,99,69200,146333
147,3,imageshack.us,us,67843,170952,imageshack.us,us,147,3,67961,170990
150,102,cbsnews.com,com,66818,154210,cbsnews.com,com,150,102,66887,154453
152,104,kickstarter.com,com,66502,161119,kickstarter.com,com,151,103,66528,161106
155,106,uk.com,com,65213,150621,uk.com,com,155,106,65298,150743
162,111,foxnews.com,com,64705,145686,foxnews.com,com,160,109,64842,145753
163,112,sun.com,com,64693,109797,sun.com,com,166,113,64686,109758
165,6,whitehouse.gov,gov,64622,130793,whitehouse.gov,gov,164,6,64696,131081
166,5,cornell.edu,edu,64596,126889,cornell.edu,edu,165,5,64686,126968
167,114,businessweek.com,com,64498,133060,businessweek.com,com,167,114,64605,133318
172,119,mozilla.com,com,63783,129134,mozilla.com,com,172,119,63798,129182
174,121,android.com,com,63349,122490,android.com,com,175,122,63301,122540
182,7,blogspot.co.uk,uk,62483,156155,blogspot.co.uk,uk,181,7,62540,156178
186,8,independent.co.uk,uk,62175,138352,independent.co.uk,uk,184,8,62321,138547
187,6,washington.edu,edu,62113,112215,washington.edu,edu,187,6,62066,112225
189,131,tripadvisor.com,com,61531,139835,tripadvisor.com,com,189,131,61584,139748
192,133,samsung.com,com,61289,121471,samsung.com,com,192,133,61248,121383
198,136,wikia.com,com,60283,135737,wikia.com,com,196,136,60426,135727
199,137,skype.com,com,59851,124891,skype.com,com,199,137,59832,124894
201,138,dell.com,com,58991,108276,dell.com,com,201,138,58955,108151
207,143,economist.com,com,58316,114169,economist.com,com,207,143,58336,114345
208,18,debian.org,org,58141,104398,debian.org,org,209,18,58066,104150
211,144,cisco.com,com,57997,96239,cisco.com,com,210,144,57973,96257
214,145,netscape.com,com,57395,99241,netscape.com,com,214,145,57410,99266
225,10,columbia.edu,edu,55998,102929,columbia.edu,edu,225,10,55979,102963
226,152,boston.com,com,55975,118707,boston.com,com,226,152,55956,118581
238,157,buzzfeed.com,com,54353,120114,buzzfeed.com,com,238,157,54386,120119
247,1,yahoo.co.jp,jp,53508,137709,yahoo.co.jp,jp,247,1,53475,137519
263,170,weather.com,com,51731,99393,weather.com,com,263,170,51746,99560
279,9,cam.ac.uk,uk,50340,85880,cam.ac.uk,uk,281,9,50273,85970
281,181,howstuffworks.com,com,50281,96851,howstuffworks.com,com,279,180,50377,97163
294,187,ehow.com,com,49402,101454,ehow.com,com,293,187,49500,101596
295,188,mac.com,com,49352,96581,mac.com,com,294,188,49492,96754
297,190,squidoo.com,com,49191,105329,squidoo.com,com,296,189,49302,105489
301,10,ox.ac.uk,uk,49072,84266,ox.ac.uk,uk,302,10,49068,84215
305,194,livestream.com,com,48716,97091,livestream.com,com,305,194,48880,97333
306,19,academia.edu,edu,48683,97794,academia.edu,edu,306,19,48622,97598
322,203,news.google.com,com,47152,91430,news.google.com,com,321,202,47185,91587
330,15,house.gov,gov,46768,90932,house.gov,gov,329,14,46848,91190
333,11,www.gov.uk,uk,46581,100268,www.gov.uk,uk,333,11,46543,100146
334,210,spotify.com,com,46375,102598,spotify.com,com,334,210,46468,102840
336,26,worldbank.org,org,46331,77557,worldbank.org,org,338,26,46285,77552
337,211,wikihow.com,com,46318,91099,wikihow.com,com,337,212,46286,91273
339,213,ubuntu.com,com,46231,82696,ubuntu.com,com,339,213,46158,82642
344,215,pcworld.com,com,45658,82089,pcworld.com,com,344,215,45578,82113
352,27,sciencemag.org,org,45208,77062,sciencemag.org,org,354,27,45118,77058
361,223,walmart.com,com,44680,90813,walmart.com,com,361,223,44683,90917
368,228,newyorker.com,com,44299,88682,newyorker.com,com,368,228,44398,88928
380,233,gmail.com,com,43828,79318,gmail.com,com,384,236,43747,79252
383,236,wikispaces.com,com,43770,79420,wikispaces.com,com,382,235,43828,79574
387,238,nbcnews.com,com,43610,86099,nbcnews.com,com,385,237,43708,86302
389,12,ebay.co.uk,uk,43513,87475,ebay.co.uk,uk,389,12,43515,87470
393,13,timesonline.co.uk,uk,43288,79962,timesonline.co.uk,uk,392,13,43313,80012
396,12,comcast.net,net,43098,78645,comcast.net,net,396,12,43137,78734
409,245,timeanddate.com,com,42462,75930,timeanddate.com,com,409,245,42494,75958
413,248,blackberry.com,com,42377,75592,blackberry.com,com,413,248,42399,75744
427,255,newscientist.com,com,41709,74703,newscientist.com,com,425,255,41783,74754
431,257,stackoverflow.com,com,41660,77009,stackoverflow.com,com,434,258,41598,76868
432,14,mirror.co.uk,uk,41657,80144,mirror.co.uk,uk,424,14,41794,80379
443,263,nokia.com,com,41307,71104,nokia.com,com,443,263,41396,71217
444,264,ikea.com,com,41241,78026,ikea.com,com,445,264,41246,78055
445,265,thefreedictionary.com,com,41211,78792,thefreedictionary.com,com,447,265,41175,78851
448,266,googlepages.com,com,41111,71821,googlepages.com,com,449,267,41137,71915
453,35,openoffice.org,org,40892,71486,openoffice.org,org,453,35,40945,71547
455,270,shutterfly.com,com,40876,80458,shutterfly.com,com,457,272,40810,80393
458,273,xbox.com,com,40745,77262,xbox.com,com,458,273,40787,77312
462,275,lifehacker.com,com,40426,78572,lifehacker.com,com,463,276,40470,78440
463,276,sky.com,com,40407,77499,sky.com,com,462,275,40490,77565
464,277,w3schools.com,com,40391,71123,w3schools.com,com,464,277,40462,71166
465,278,blogs.com,com,40313,76504,blogs.com,com,466,279,40289,76466
472,38,python.org,org,39892,67691,python.org,org,473,38,39911,67772
476,21,usa.gov,gov,39709,73421,usa.gov,gov,474,21,39826,73459
479,284,bitly.com,com,39546,73212,bitly.com,com,480,285,39548,73196
485,287,urbandictionary.com,com,39301,77640,urbandictionary.com,com,486,288,39283,77382
489,40,craigslist.org,org,39060,75461,craigslist.org,org,490,40,39103,75647
491,41,opensource.org,org,38973,69103,opensource.org,org,492,41,38967,69037
493,290,sony.com,com,38848,65218,sony.com,com,496,292,38787,65017
495,2,vine.co,co,38743,74955,vine.co,co,493,2,38926,75192
497,293,fifa.com,com,38634,67623,fifa.com,com,497,293,38714,67701
536,317,warnerbros.com,com,37161,64250,warnerbros.com,com,541,319,37168,64374
573,336,steampowered.com,com,36145,68666,steampowered.com,com,571,335,36212,68735
636,370,playstation.com,com,34410,60846,playstation.com,com,634,369,34427,60884
755,429,xkcd.com,com,31471,56011,xkcd.com,com,753,428,31543,56061
774,25,speedtest.net,net,31187,50074,speedtest.net,net,768,25,31282,50130
823,465,canada.com,com,30199,52747,canada.com,com,819,463,30258,52706
953,539,hulu.com,com,27994,52521,hulu.com,com,952,538,28039,52358
970,548,hbo.com,com,27780,47559,hbo.com,com,962,544,27848,47641
995,559,mixcloud.com,com,27474,52806,mixcloud.com,com,989,556,27524,52739
1040,24,huffingtonpost.co.uk,uk,26905,45900,huffingtonpost.co.uk,uk,1032,24,26971,46040
1093,618,canon.com,com,26089,40684,canon.com,com,1099,620,26060,40741
1118,631,ticketmaster.com,com,25829,45135,ticketmaster.com,com,1112,629,25902,45222
1164,653,adidas.com,com,25434,39952,adidas.com,com,1162,651,25463,40037
1174,107,7-zip.org,org,25327,39551,7-zip.org,org,1173,106,25349,39553
1180,661,disney.com,com,25238,39067,disney.com,com,1175,659,25324,39167
1253,697,itv.com,com,24385,42003,itv.com,com,1263,703,24334,42067
1285,715,itunes.com,com,24069,37884,itunes.com,com,1286,716,24079,37933
1638,914,cracked.com,com,21024,35036,cracked.com,com,1636,913,21065,35027
1679,940,bebo.com,com,20778,32281,bebo.com,com,1681,942,20796,32331
1839,1025,uber.com,com,19926,30992,uber.com,com,1842,1028,19869,31012
1869,1046,dictionary.com,com,19696,29929,dictionary.com,com,1868,1046,19669,29814
1889,1061,miniclip.com,com,19571,30189,miniclip.com,com,1887,1058,19586,30201
2058,1140,easyjet.com,com,18681,30143,easyjet.com,com,2064,1143,18660,30175
2126,180,peta.org,org,18341,28517,peta.org,org,2128,181,18334,28581
2201,1215,gap.com,com,18009,28361,gap.com,com,2193,1213,18039,28416
2211,1223,firefox.com,com,17944,26389,firefox.com,com,2225,1230,17910,26357
2232,1235,pitchfork.com,com,17870,29030,pitchfork.com,com,2217,1227,17929,29073
2435,1335,abc.com,com,17022,25550,abc.com,com,2433,1336,17027,25590
2472,1357,9gag.com,com,16881,26034,9gag.com,com,2463,1354,16911,26115
2505,1375,menshealth.com,com,16739,25513,menshealth.com,com,2502,1372,16766,25598
2510,60,thesundaytimes.co.uk,uk,16721,25448,thesundaytimes.co.uk,uk,2513,61,16723,25503
2511,1377,filehippo.com,com,16716,25548,filehippo.com,com,2510,1377,16731,25530
2512,83,tsa.gov,gov,16715,25004,tsa.gov,gov,2518,83,16704,25106
2526,1384,health.com,com,16656,25303,health.com,com,2520,1381,16690,25383
2537,1391,microsoftonline.com,com,16600,22540,microsoftonline.com,com,2531,1389,16646,22589
2541,1393,btinternet.com,com,16586,24508,btinternet.com,com,2536,1392,16627,24499
2542,1394,wimp.com,com,16585,24312,wimp.com,com,2542,1394,16600,24416
2600,1422,formula1.com,com,16388,23136,formula1.com,com,2600,1421,16398,23191
2617,45,siemens.de,de,16345,23495,siemens.de,de,2637,46,16286,23423
2619,1429,bittorrent.com,com,16341,23765,bittorrent.com,com,2611,1426,16357,23834
2645,1440,sonymobile.com,com,16256,23804,sonymobile.com,com,2643,1440,16276,23828
2646,1441,tesco.com,com,16254,25045,tesco.com,com,2640,1439,16284,25084
2650,1444,t-mobile.com,com,16239,23907,t-mobile.com,com,2652,1445,16235,23948
2662,1451,gamespy.com,com,16183,24071,gamespy.com,com,2664,1454,16174,24063
2680,65,homeoffice.gov.uk,uk,16115,24130,homeoffice.gov.uk,uk,2672,63,16151,24164
2740,1497,belkin.com,com,15927,22272,belkin.com,com,2738,1496,15932,22274
2741,66,vogue.co.uk,uk,15925,23596,vogue.co.uk,uk,2760,67,15885,23634
2809,1535,thedailyshow.com,com,15707,25138,thedailyshow.com,com,2797,1525,15763,25202
2849,1554,polygon.com,com,15594,24026,polygon.com,com,2842,1551,15621,24017
2884,1577,googledrive.com,com,15466,23079,googledrive.com,com,2886,1579,15473,23056
2902,1586,microsoftstore.com,com,15395,21896,microsoftstore.com,com,2913,1594,15373,21868
2987,1637,cosmopolitan.com,com,15133,23059,cosmopolitan.com,com,2983,1636,15155,23099
2997,1641,razerzone.com,com,15114,21434,razerzone.com,com,2993,1641,15131,21470
3029,124,minecraft.net,net,15046,22396,minecraft.net,net,3028,125,15043,22411
3139,1701,msi.com,com,14741,20264,msi.com,com,3126,1692,14788,20289
3221,97,nsa.gov,gov,14505,19834,nsa.gov,gov,3218,97,14520,19898
3233,1751,leagueoflegends.com,com,14481,21519,leagueoflegends.com,com,3235,1751,14474,21556
3294,79,nationaltrust.org.uk,uk,14327,25219,nationaltrust.org.uk,uk,3294,79,14343,25270
3319,81,legislation.gov.uk,uk,14271,23640,legislation.gov.uk,uk,3321,81,14276,23623
3347,278,adblockplus.org,org,14205,20545,adblockplus.org,org,3345,276,14216,20632
3388,83,metoffice.gov.uk,uk,14099,22105,metoffice.gov.uk,uk,3371,82,14146,22131
3418,1838,ferrari.com,com,14030,19647,ferrari.com,com,3412,1836,14061,19669
3428,1844,vevo.com,com,14005,21910,vevo.com,com,3419,1840,14043,21980
3453,1857,mathworks.com,com,13955,17989,mathworks.com,com,3456,1856,13961,18024
3460,1861,topgear.com,com,13940,19742,topgear.com,com,3466,1863,13943,19802
3539,1898,humblebundle.com,com,13734,21021,humblebundle.com,com,3540,1898,13735,21071
3621,303,cancerresearchuk.org,org,13494,20357,cancerresearchuk.org,org,3615,301,13503,20359
3762,94,dailystar.co.uk,uk,13216,19392,dailystar.co.uk,uk,3747,93,13237,19421
